Year,TTI,PTI,BTI,Peak,Severity,Variability
2020,1.067992986,1.384136633,0.03228168,am,1.226064809,1.296016595
2020,1.319486699,2.143495375,0.016411372,am,1.731491037,1.62449184
2020,1.306217701,2.109942162,0.02552522,am,1.708079931,1.615306668
2020,1.137969883,1.647897938,0.029034691,am,1.392933911,1.448103296
2020,1.118601768,1.488577371,0.01190719,am,1.303589569,1.330748273
2020,1.386639147,2.214497042,0.031496383,am,1.800568095,1.597024753
2020,1.388531012,2.515394929,0.020874622,am,1.951962971,1.811551133
2020,1.293418464,2.148371682,0.017253919,am,1.720895073,1.661002794
2020,1.322009532,2.059003993,0.016841992,am,1.690506762,1.557480444
2020,1.322009532,2.059003993,0.016841992,am,1.690506762,1.557480444
2020,1.388531012,2.515394929,0.020874622,am,1.951962971,1.811551133
2020,1.375759849,2.260338017,0.018820996,am,1.818048933,1.642974258
2020,1.370424421,2.026501664,0.016638123,am,1.698463043,1.478740187
2020,1.350600601,1.969636303,0.016430066,am,1.660118452,1.458341054
2020,1.370930385,2.319328348,0.019479269,am,1.845129366,1.691791482
2020,1.362988686,2.005281105,0.016767371,am,1.684134896,1.471238262
2020,1.339798612,2.052977964,0.016929554,am,1.696388288,1.532303397
2020,1.350600601,1.969636303,0.016430066,am,1.660118452,1.458341054
2020,1.350600601,1.969636303,0.016430066,am,1.660118452,1.458341054
2020,1.388531012,2.515394929,0.020874622,am,1.951962971,1.811551133
2020,1.49995277,2.325740054,0.224533515,am,1.912846412,1.55054219
2020,1.230884604,1.667633136,0.17284069,am,1.44925887,1.354824921
2020,1.118754055,1.424119703,0.033506402,am,1.271436879,1.272951546
2020,1.112427305,1.366061018,0.021040108,am,1.239244162,1.228000258
2020,1.551800367,2.625160661,0.229582335,am,2.088480514,1.691687099
2020,1.042985258,1.614879786,0.007388621,am,1.328932522,1.548324651
2020,1.188226015,1.746456968,0.010381598,am,1.467341491,1.469801996
2020,1.188226015,1.746456968,0.010381598,am,1.467341491,1.469801996
2020,1.495879078,2.558773135,0.514309883,am,2.027326107,1.710548113
2020,1.373316721,2.31417245,0.828189511,am,1.843744586,1.685097411
2020,1.252885098,2.273915325,0.656847993,am,1.763400212,1.814943228
2020,1.047468252,1.370132953,0.032850136,am,1.208800603,1.308042465
2020,1.252209719,2.064596808,0.067985226,am,1.658403264,1.648762804
2020,1.244752279,1.637000446,0.060711683,am,1.440876362,1.315121469
2020,1.180979392,1.46513773,0.099916812,am,1.323058561,1.240612444
2020,1.056200925,1.133278875,0.051022276,am,1.0947399,1.072976597
2020,1.474827155,2.606079997,0.008280424,am,2.040453576,1.767040964
2020,1.474827155,2.606079997,0.008280424,am,2.040453576,1.767040964
2020,1.14630226,1.961662549,0.178268815,am,1.553982404,1.711296067
2020,1.474827155,2.606079997,0.008280424,am,2.040453576,1.767040964
2020,1.167543714,1.849029909,0.025446617,am,1.508286812,1.583692231
2020,1.474827155,2.606079997,0.008280424,am,2.040453576,1.767040964
2020,1.188226015,1.746456968,0.010381598,am,1.467341491,1.469801996
2020,1.285358402,1.894667444,0.042122025,am,1.590012923,1.474038245
2020,1.157665688,2.275159136,0.195409767,am,1.716412412,1.965298929
2020,1.173013972,3.485644637,0.078364129,am,2.329329304,2.971528661
2020,1.198666724,4.33538723,0.074777644,am,2.767026977,3.61684123
2020,1.648634146,8.458658537,0.103154372,am,5.053646341,5.130706867
2020,1.287388257,1.972607412,0.008428341,am,1.629997835,1.532255247
2020,1.679739388,2.538200631,0.507228209,am,2.10897001,1.511068115
2020,1.372160337,2.230575321,0.541736857,am,1.801367829,1.625593789
2020,1.53734726,2.36974644,0.495180415,am,1.95354685,1.54145163
2020,1.257398564,4.154632559,0.08240726,am,2.706015562,3.304149279
2020,1.282982972,2.487218215,0.107132801,am,1.885100593,1.938621377
2020,1.053158585,3.918564875,0.051357338,am,2.48586173,3.720773807
2020,1.07358729,1.197615794,0.019583437,am,1.135601542,1.115527173
2020,1.475184268,2.476896608,1.255676248,am,1.976040438,1.679042179
2020,1.045647086,1.130909625,0.007681308,am,1.088278355,1.081540455
2020,1.166734091,1.826041315,0.010291491,am,1.496387703,1.56508782
2020,1.106190588,1.47847547,0.008986399,am,1.292333029,1.336546781
2020,1.285759235,2.188789448,0.932031062,am,1.737274342,1.702332278
2020,1.4437006,2.434039465,1.403761928,am,1.938870033,1.685972469
2020,1.329200503,1.96265489,0.015796995,am,1.645927696,1.476567972
2020,1.104517967,1.50262972,0.155057629,am,1.303573843,1.360439363
2020,1.063408805,1.158772429,0.036832507,am,1.111090617,1.089677294
2020,1.072975878,1.185990758,0.030331518,am,1.129483318,1.105328444
2020,1.063307315,1.167338464,0.02277303,am,1.11532289,1.097837329
2020,1.055646981,1.260347484,0.050204865,am,1.157997232,1.193909997
2020,1.158944986,1.619797258,0.00763322,am,1.389371122,1.3976481
2020,1.035800604,1.08141994,0.016335649,am,1.058610272,1.044042584
2020,1.289992471,2.912883988,0.100992392,am,2.10143823,2.258062781
2020,1.493523014,2.523764504,0.04414358,am,2.008643759,1.689806237
2020,1.173632855,1.56977281,0.014011699,am,1.371702832,1.337533116
2020,1.173632855,1.56977281,0.014011699,am,1.371702832,1.337533116
2020,1.173632855,1.56977281,0.014011699,am,1.371702832,1.337533116
2020,1.421358072,2.456625735,1.243748153,am,1.938991904,1.728365134
2020,1.287388257,1.972607412,0.008428341,am,1.629997835,1.532255247
2020,1.203470511,1.6700421,0.018347209,am,1.436756305,1.387688428
2020,1.052575881,1.155767714,0.015353626,am,1.104171797,1.098037429
2020,1.662310208,3.355322759,0.403572701,am,2.508816484,2.018469684
2020,1.329200503,1.96265489,0.015796995,am,1.645927696,1.476567972
2020,1.329200503,1.96265489,0.015796995,am,1.645927696,1.476567972
2020,1.329200503,1.96265489,0.015796995,am,1.645927696,1.476567972
2020,1.044479594,2.499992408,0.033846493,am,1.772236001,2.3935292
2020,1.455228861,2.645082338,0.211173882,am,2.050155599,1.817640104
2020,1.189960176,2.831118599,0.080305932,am,2.010539388,2.37917088
2020,1.19311673,3.634640495,0.050557805,am,2.413878612,3.04634107
2020,1.395810948,2.29463254,0.171808247,am,1.845221744,1.643942214
2020,1.354515331,2.071150055,0.171990606,am,1.712832693,1.529070959
2020,1.181858017,1.527224144,0.18145177,am,1.35454108,1.292223027
2020,1.272772082,1.869052333,0.089500279,am,1.570912208,1.468489418
2020,1.260305115,1.767252314,0.012290186,am,1.513778715,1.402241642
2020,1.431642731,2.135417446,0.010000273,am,1.783530088,1.491585435
2020,1.431642731,2.135417446,0.010000273,am,1.783530088,1.491585435
2020,1.373328976,2.086447218,0.438541767,am,1.729888097,1.519262503
2020,1.518744049,2.469139883,0.125433053,am,1.993941966,1.625777487
2020,1.409541072,2.291590524,0.099642158,am,1.850565798,1.625770664
2020,1.157236473,1.610657971,0.006063649,am,1.383947222,1.39181404
2020,1.170130653,1.67830556,0.008577051,am,1.424218106,1.434289031
2020,1.170130653,1.67830556,0.008577051,am,1.424218106,1.434289031
2020,1.170130653,1.67830556,0.008577051,am,1.424218106,1.434289031
2020,1.167891161,1.566400598,0.010750982,am,1.367145879,1.341221383
2020,1.167891161,1.566400598,0.010750982,am,1.367145879,1.341221383
2020,1.169562458,1.486252191,0.00839935,am,1.327907324,1.270776247
2020,1.173473247,1.518008747,0.003873785,am,1.345740997,1.2936032
2020,1.173473247,1.518008747,0.003873785,am,1.345740997,1.2936032
2020,1.173473247,1.518008747,0.003873785,am,1.345740997,1.2936032
2020,1.445047443,3.532805021,0.016640784,am,2.488926232,2.444767497
2020,1.28880565,2.649936227,0.012731394,am,1.969370939,2.056117792
2020,1.220796083,2.133225291,0.012388495,am,1.677010687,1.747405091
2020,1.197134665,1.825617019,0.00813114,am,1.511375842,1.524988852
2020,1.220796083,2.133225291,0.012388495,am,1.677010687,1.747405091
2020,1.198194822,1.989279297,0.38443166,am,1.59373706,1.660230257
2020,1.207046569,2.123956176,0.417282351,am,1.665501372,1.75963068
2020,1.132000488,1.567326367,0.002065053,am,1.349663428,1.384563331
2020,1.139725708,1.669573213,0.002601578,am,1.404649461,1.464890369
2020,1.132000488,1.567326367,0.002065053,am,1.349663428,1.384563331
2020,1.141750261,1.731410451,0.005162924,am,1.436580356,1.516452862
2020,1.141750261,1.731410451,0.005162924,am,1.436580356,1.516452862
2020,1.136545588,1.601773445,0.009915722,am,1.369159517,1.409334973
2020,1.136049595,1.691000843,0.007187744,am,1.413525219,1.488492096
2020,1.137041581,1.512546048,0.0126437,am,1.324793814,1.330246908
2020,1.142919996,1.6460795,0.007232973,am,1.394499748,1.440240355
2020,1.145078666,1.714300002,0.002000598,am,1.429689334,1.497102386
2020,1.174431766,1.605958663,0.004811631,am,1.390195214,1.367434626
2020,1.13448852,1.693908394,0.002133722,am,1.414198457,1.493103161
2020,1.174431766,1.605958663,0.004811631,am,1.390195214,1.367434626
2020,1.174431766,1.605958663,0.004811631,am,1.390195214,1.367434626
2020,1.248222027,1.770211141,0.102952776,am,1.509216584,1.41818611
2020,1.187098952,1.424797965,0.033823035,am,1.305948459,1.200235214
2020,1.160254106,1.475532357,0.011356206,am,1.317893231,1.271732071
2020,1.420604751,2.347955747,0.007855171,am,1.884280249,1.652786073
2020,1.174431766,1.605958663,0.004811631,am,1.390195214,1.367434626
2020,1.296256716,1.798129751,0.012739567,am,1.547193233,1.38717102
2020,1.296256716,1.798129751,0.012739567,am,1.547193233,1.38717102
2020,1.666777736,3.089952832,0.010898712,am,2.378365284,1.853848156
2020,1.666777736,3.089952832,0.010898712,am,2.378365284,1.853848156
2020,1.666777736,3.089952832,0.010898712,am,2.378365284,1.853848156
2020,1.296256716,1.798129751,0.012739567,am,1.547193233,1.38717102
2020,1.666777736,3.089952832,0.010898712,am,2.378365284,1.853848156
2020,1.402583769,2.58013307,0.011132223,am,1.991358419,1.839557199
2020,1.539397362,2.528288157,0.105642895,am,2.033842759,1.642388262
2020,1.675426111,2.874722425,0.162265404,am,2.275074268,1.7158157
2020,1.243856647,1.813120884,0.045819366,am,1.528488765,1.457660647
2020,1.617200943,2.930577381,0.141819548,am,2.273889162,1.812129404
2020,1.205432856,1.655944848,0.04093093,am,1.430688852,1.373734622
2020,1.218132779,1.607211678,0.080570356,am,1.412672229,1.319405984
2020,1.353557477,2.295291177,0.088872249,am,1.824424327,1.695747109
2020,1.246109929,1.673492395,0.04207363,am,1.459801162,1.342973325
2020,1.402583769,2.58013307,0.011132223,am,1.991358419,1.839557199
2020,1.402583769,2.58013307,0.011132223,am,1.991358419,1.839557199
2020,1.409163309,2.420743933,0.022681008,am,1.914953621,1.717859043
2020,1.504680574,2.454895751,0.239000917,am,1.979788163,1.631506244
2020,1.701545017,3.114198984,0.492105099,am,2.407872001,1.830218392
2020,1.334500949,1.97224792,0.080594177,am,1.653374435,1.477891732
2020,1.552892608,2.522444942,0.154144331,am,2.037668775,1.624352469
2020,1.269608537,2.064365406,0.101645136,am,1.666986972,1.625985762
2020,1.615660673,2.701308993,0.148527961,am,2.158484833,1.671953176
2020,1.798455035,3.000981001,0.179050004,am,2.399718018,1.668643887
2020,1.803653976,3.142173529,0.370321394,am,2.472913752,1.742115489
2020,1.152153097,1.521159616,0.003734439,am,1.336656356,1.320275595
2020,2.283746224,5.044108761,0.304779986,am,3.663927492,2.208699333
2020,1.152153097,1.521159616,0.003734439,am,1.336656356,1.320275595
2020,1.152153097,1.521159616,0.003734439,am,1.336656356,1.320275595
2020,1.454884044,2.239784463,0.018178302,am,1.847334253,1.539493455
2020,1.420986567,2.260372333,0.043630177,am,1.84067945,1.590706334
2020,1.437935305,2.250078398,0.03090424,am,1.844006852,1.564798075
2020,1.429218839,2.123263483,0.190644844,am,1.776241161,1.485611178
2020,1.137105889,1.524007781,0.003493823,am,1.330556835,1.340251419
2020,1.137105889,1.524007781,0.003493823,am,1.330556835,1.340251419
2020,1.32270964,3.00219916,0.170118275,am,2.1624544,2.269734089
2020,1.430501203,2.149780927,0.2845576,am,1.790141065,1.502816581
2020,1.068538095,2.513227705,0.163444141,am,1.7908829,2.352024431
2020,1.124991656,1.49841759,0.003088391,pm,1.311704623,1.331936626
2020,1.124991656,1.49841759,0.003088391,pm,1.311704623,1.331936626
2020,1.180415286,2.041715513,0.006149778,pm,1.6110654,1.729658652
2020,1.124991656,1.49841759,0.003088391,pm,1.311704623,1.331936626
2020,1.152703471,1.770066552,0.004619085,pm,1.461385011,1.5355784
2020,1.119330172,1.280420227,0.003111441,pm,1.1998752,1.143916477
2020,1.119330172,1.280420227,0.003111441,pm,1.1998752,1.143916477
2020,1.124991656,1.49841759,0.003088391,pm,1.311704623,1.331936626
2020,1.124991656,1.49841759,0.003088391,pm,1.311704623,1.331936626
2020,1.149872729,1.66106787,0.00463061,pm,1.4054703,1.444566714
2020,1.180415286,2.041715513,0.006149778,pm,1.6110654,1.729658652
2020,1.180415286,2.041715513,0.006149778,pm,1.6110654,1.729658652
2020,1.180415286,2.041715513,0.006149778,pm,1.6110654,1.729658652
2020,1.180724945,1.609668695,0.314542288,pm,1.39519682,1.363288463
2020,1.166794476,1.577777472,0.060660109,pm,1.372285974,1.352232553
2020,1.141874455,1.340436594,0.00793217,pm,1.241155525,1.173891393
2020,1.141874455,1.340436594,0.00793217,pm,1.241155525,1.173891393
2020,1.222256118,1.941834522,0.095771817,pm,1.58204532,1.58872964
2020,1.24610245,1.912843356,0.071003837,pm,1.579472903,1.535061066
2020,1.250703692,1.759253281,0.477312706,pm,1.504978487,1.406610768
2020,1.160197538,1.626288434,0.06674348,pm,1.393242986,1.401734084
2020,1.09045252,1.328897521,0.054252586,pm,1.20967502,1.218666101
2020,1.256116234,1.993981675,0.094076605,pm,1.625048954,1.587418123
2020,1.204325085,1.794084929,0.069163291,pm,1.499205007,1.489701536
2020,1.07854981,1.196419276,0.148129606,pm,1.137484543,1.10928514
2020,1.139843934,1.377954095,0.130535592,pm,1.258899015,1.20889716
2020,1.061341792,1.164489838,0.094176381,pm,1.112915815,1.097186455
2020,1.523834532,2.02126306,0.064732815,pm,1.772548796,1.326432114
2020,1.411263911,2.027736221,0.014127359,pm,1.719500066,1.436822841
2020,1.411263911,2.027736221,0.014127359,pm,1.719500066,1.436822841
2020,1.466943511,2.15030767,0.079276815,pm,1.808625591,1.465842177
2020,1.411263911,2.027736221,0.014127359,pm,1.719500066,1.436822841
2020,1.578302712,2.395450569,0.209575728,pm,1.98687664,1.517738359
2020,1.530471316,2.340715944,0.243736458,pm,1.93559363,1.529408568
2020,1.425055339,2.181815053,0.029395317,pm,1.803435196,1.531038826
2020,1.426927191,1.978248016,0.026099174,pm,1.702587603,1.386369275
2020,1.426927191,1.978248016,0.026099174,pm,1.702587603,1.386369275
2020,1.430893037,2.086700816,0.051080381,pm,1.758796926,1.458320616
2020,1.434858883,2.195153616,0.076061588,pm,1.81500625,1.529874221
2020,1.299400064,1.856857775,0.109705671,pm,1.57812892,1.429011608
2020,1.434858883,2.195153616,0.076061588,pm,1.81500625,1.529874221
2020,1.400720608,2.224308403,0.036765389,pm,1.812514506,1.587974354
2020,1.514085509,2.46334353,0.093295031,pm,1.98871452,1.626951394
2020,1.423183487,2.385382091,0.032691459,pm,1.904282789,1.676088932
2020,1.423183487,2.385382091,0.032691459,pm,1.904282789,1.676088932
2020,1.374949963,2.196987254,0.023143235,pm,1.785968608,1.597867059
2020,1.374949963,2.196987254,0.023143235,pm,1.785968608,1.597867059
2020,1.374949963,2.196987254,0.023143235,pm,1.785968608,1.597867059
2020,1.447468062,2.167630277,0.038488732,pm,1.80754917,1.497532369
2020,1.467774285,2.337140479,0.038319221,pm,1.902457382,1.592302374
2020,1.346311991,2.061040175,0.025357732,pm,1.703676083,1.53087857
2020,1.380016313,2.033846797,0.223930087,pm,1.706931555,1.473784605
2020,1.347481011,2.054611977,0.12510119,pm,1.701046494,1.524779912
2020,1.465068566,2.382442818,0.373517934,pm,1.923755692,1.626164723
2020,1.440543397,2.177062238,0.061143508,pm,1.808802817,1.511278482
2020,1.621425611,2.376813096,0.049250168,pm,1.999119354,1.465878594
